n-gram_word                   Frequency
[]      606789
['।']      358
['आ']      163
['न']      427
['द']      76
['ए']      49
['व']      468
['ओ']      7
['क']      10
['ख']      4
['स']      6
['॥']      12
['२']      7
['ल']      2
['ई']      16
['ब']      3
['१']      3
['ऐ']      2
['ग']      3
['य']      1
['त']      3
['४']      1
['ऋ']      1
['ॐ']      1
['म']      2
['अ']      2
['ः']      1
['५']      3
['ह']      2
['ट']      1
['र']      3
['औ']      1
['े']      1
['घ']      2
['॒']      1
['८']      1
['च']      1
['०']      1
['छ']      1
['प']      1
['फ']      1
['इ']      1
['को']      6877
['और']      9113
['ने']      10617
['इन']      1017
['इस']      6889
['की']      9633
['से']      6747
['यह']      6206
['भी']      4937
['के']      17636
['है']      4761
['कि']      4723
['उस']      504
['ये']      2087
['तो']      1486
['उप']      30
['बी']      25
['जो']      558
['पर']      5715
['हो']      1260
['वे']      889
['दो']      873
['तय']      70
['घर']      483
['का']      5164
['मे']      122
['कई']      1061
['कर']      1156
['तब']      284
['वो']      699
['सब']      869
['एप']      26
['ही']      3474
['आप']      1651
['वह']      2146
['एक']      4173
['नए']      193
['कम']      479
['लग']      81
['ओर']      359
['जा']      295
['चल']      133
['हर']      581
['गई']      195
['बढ़']      23
['नई']      408
['सा']      39
['ऑफ']      157
['कह']      99
['हम']      1546
['तक']      884
['उन']      203
['था']      583
['बच']      19
['मन']      94
['आम']      130
['सच']      181
['बस']      267
['पद']      88
['गए']      266
['दे']      91
['शी']      10
['या']      392
['सी']      93
['आग']      168
['ले']      102
['औऱ']      11
['मर']      14
['सर']      17
['बढ']      3
['डी']      30
['रन']      72
['रस']      39
['जल']      83
['थल']      7
['आई']      57
['डॉ']      66
['थी']      178
['वन']      30
['शव']      223
['शो']      124
['दी']      135
['रॉ']      5
['आर']      33
['पी']      32
['जब']      370
['जज']      17
['३०']      1
['टू']      7
['थे']      164
['दल']      79
['पे']      9
['जी']      181
['अप']      5
['लो']      21
['कप']      94
['कब']      89
['आए']      57
['पा']      31
['ओह']      13
['डे']      29
['दस']      29
['तू']      62
['डा']      14
['ऑल']      26
['छह']      97
['भई']      6
['मी']      11
['भर']      144
['भय']      25
['सह']      13
['ना']      80
['वग']      1
['मत']      69
['दम']      23
['खो']      7
['आठ']      49
['रो']      9
['उफ़']      2
['डर']      72
['आस']      11
['धन']      52
['शक']      21
['घी']      19
['बन']      53
['आय']      34
['खत']      3
['रह']      69
['दर']      27
['नौ']      43
['मै']      34
['टन']      6
['सौ']      13
['अब']      28
['ली']      29
['नर']      2
['बद']      3
['फल']      37
['३३']      1
['पथ']      7
['लॉ']      9
['ऐप']      67
['एड']      4
['एल']      9
['रथ']      4
['जे']      17
['एस']      47
['बल']      56
['नल']      4
['सो']      28
['एम']      12
['हल']      34
['हू']      16
['वी']      15
['वर']      2
['हक']      16
['छठ']      4
['आज']      21
['कल']      3
['लु']      1
['अत']      10
['खब']      1
['रख']      12
['टी']      28
['बम']      22
['अथ']      3
['हद']      26
['सव']      1
['तत']      2
['१९']      1
['ईव']      1
['उल']      5
['गढ़']      2
['एि']      1
['हे']      43
['बज']      8
['हस']      3
['मच']      31
['मठ']      2
['दि']      3
['गत']      4
['गन']      2
['छत']      9
['आह']      6
['ह।']      3
['धर']      4
['फै']      2
['आओ']      12
['गे']      1
['कछ']      1
['नम']      4
['सं']      1
['इक']      1
['बह']      19
['यू']      12
['जय']      15
['ओम']      6
['ईट']      1
['नि']      3
['मय']      1
['धो']      9
['झा']      6
['शॉ']      8
['आन']      2
['कट']      8
['अल']      12
['हौ']      1
['गा']      4
['तट']      15
['ईद']      15
['घई']      4
['उठ']      13
['इश']      1
['रु']      2
['ठग']      3
['ला']      7
['ढग']      1
['वश']      5
['ढल']      1
['मा']      1
['चर']      1
['खा']      9
['डि']      2
['सघ']      3
['ऐन']      1
['पल']      17
['पट']      1
['फट']      2
['हु']      6
['ऊब']      6
['लव']      21
['जौ']      5
['रे']      3
['जग']      1
['रब']      4
['डग']      1
['यस']      1
['एफ']      13
['पन']      2
['एज']      1
['ऊन']      3
['आफ']      7
['ठप']      8
['पच']      1
['चढ़']      2
['छि']      2
['बे']      4
['५५']      1
['मद']      2
['ऋण']      5
['नो']      3
['ऑन']      3
['गज']      1
['ता']      6
['तह']      1
['पक']      1
['१४']      1
['एन']      15
['यश']      6
['बा']      3
['सू']      2
['कद']      3
['वट']      2
['नच']      2
['तु']      4
['दब']      1
['यं']      1
['ऍप']      2
['पड']      2
['ईल']      1
['डू']      1
['जम']      2
['एश']      1
['जद']      4
['रड']      2
['थक']      2
['डु']      1
['भट']      1
['लू']      5
['पढ़']      3
['बग']      1
['२०']      2
['छा']      5
['छः']      2
['पड़']      3
['ओस']      3
['हट']      3
['मल']      2
['मझ']      1
['तल']      1
['कफ']      2
['री']      1
['९०']      1
['हि']      1
['नन']      2
['बू']      1
['इज']      1
['पढ']      2
['भा']      2
['७२']      1
['वॉ']      1
['जड़']      2
['हन']      4
['घक']      1
['टच']      3
['नव']      2
['६०']      1
['चए']      1
['ते']      2
['मई']      2
['वय']      1
['झर']      1
['धू']      1
['तन']      3
['पब']      3
['वद']      1
['ईश']      1
['ऐड']      2
['हॉ']      1
['कण']      1
['हज']      2
['ऑप']      1
['कु']      1
['तौ']      1
['थम']      2
['१६']      3
['तम']      1
['बव']      1
['यी']      3
['ऐश']      2
['एव']      1
['फा']      2
['सन']      1
['हा']      5
['यद']      2
['रच']      1
['रद']      1
['गद']      1
['जप']      3
['ईख']      1
['झट']      1
['जस']      4
['तस']      2
['बट']      2
['छप']      3
['आल']      3
['ढक']      2
['एए']      1
['५०']      2
['दश']      2
['शह']      1
['दा']      1
['दु']      2
['१०']      1
['नछ']      1
['वध']      1
['ेस']      1
['सत']      2
['ङी']      1
['पं']      1
['शत']      2
['ऒर']      1
['एच']      2
['चक']      1
['य़ह']      2
['थह']      1
['मो']      1
['४१']      1
['बफ']      1
['खम']      1
['्र']      1
['नस']      1
['लए']      1
['ती']      1
['फन']      1
['दू']      1
['व॑']      1
['छू']      5
['उड़']      1
['टल']      2
['थ।']      2
['गम']      1
['लत']      1
['घं']      1
['ऐव']      1
['ेक']      1
['इत']      1
['१५']      1
['फर']      1
['झू']      2
['लस']      1
['य॑']      1
['ऐस']      1
['बत']      1
['वा']      1
['जू']      1
['न।']      1
['हं']      1
['तव']      1
['सई']      1
['जं']      4
['ढह']      1
['७०']      1
['तप']      1
['ओक']      1
['भो']      1
['८५']      1
['चह']      1
['णह']      1
['लक']      1
['गो']      3
['टफ']      1
['अव']      1
['नह']      1
['ओड']      1
['अभ']      1
['गौ']      1
['मं']      1
['आद']      1
['क़ो']      1
['कै']      1
