English-Hindi , Count
the-के , 56121
the-में , 38073
the-की , 31174
of-के , 28997
and-और , 26343
in-में , 24752
and-के , 24668
the-और , 22731
the-को , 22440
the-ने , 22161
to-के , 21519
in-के , 18104
the-से , 18035
the-है , 17157
and-में , 16488
of-की , 16210
the-है। , 16128
of-में , 16016
the-पर , 14986
the-का , 14532
a-के , 13779
the-कि , 13073
to-में , 12555
and-की , 12207
to-की , 11625
to-को , 11498
of-और , 11208
for-के , 10346
a-में , 10089
in-की , 10006
and-को , 9187
the-लिए , 8987
to-और , 8798
the-कहा , 8793
of-को , 8628
is-है , 8609
is-के , 8569
of-से , 8503
of-ने , 8299
and-ने , 8277
of-का , 8135
of-है , 8050
to-से , 8045
is-है। , 8026
in-और , 7983
The-के , 7900
and-है , 7703
and-से , 7687
of-है। , 7568
a-की , 7542
the-कर , 7512
to-ने , 7468
the-इस , 7294
the-भी , 7261
to-है , 7108
the-एक , 7027
is-में , 6828
the-पुलिस , 6728
in-ने , 6557
with-के , 6488
The-में , 6378
and-है। , 6218
and-का , 6130
to-का , 6051
has-के , 6043
in-को , 6032
to-है। , 6026
to-लिए , 6019
and-पर , 5995
a-और , 5990
in-है। , 5954
a-है , 5953
the-किया , 5930
a-एक , 5927
in-से , 5890
in-है , 5885
of-पर , 5883
is-की , 5872
to-कि , 5859
the-हैं , 5701
on-के , 5696
the-नहीं , 5672
the-करने , 5531
a-ने , 5513
for-लिए , 5510
a-है। , 5462
of-कि , 5435
that-के , 5353
the-हैं। , 5321
The-की , 5290
on-पर , 5207
to-पर , 5088
and-कि , 5071
was-के , 4853
a-को , 4826
the-बाद , 4758
is-और , 4676
the-यह , 4676
has-में , 4620
not-नहीं , 4591
the-ही , 4575
a-का , 4526
a-से , 4451
that-कि , 4386
be-के , 4372
for-की , 4335
in-का , 4330
by-के , 4325
the-गया , 4310
of-एक , 4268
for-में , 4265
The-है। , 4240
have-के , 4210
as-के , 4203
and-लिए , 4124
are-के , 4118
in-कि , 4096
also-भी , 4072
will-के , 4066
to-करने , 4052
was-में , 4041
to-कहा , 4040
has-की , 4010
has-है। , 3991
the-हो , 3981
The-ने , 3947
the-साथ , 3912
of-लिए , 3904
that-में , 3891
from-के , 3866
The-को , 3832
of-कहा , 3817
is-का , 3813
in-पर , 3799
that-है , 3760
and-कहा , 3719
from-से , 3695
the-सरकार , 3676
