Word , Coverage
the , 5.383467179847773 %
and , 2.3612146461041763 %
of , 2.3518744680063657 %
to , 2.1648065613869987 %
in , 2.0061997634996414 %
a , 1.56412737183249 %
is , 1.5155760687014157 %
The , 1.1203807972987498 %
for , 0.8499562069008055 %
has , 0.7604314809821637 %
was , 0.7294150405064138 %
are , 0.7007777019989743 %
on , 0.6742551207966996 %
be , 0.6535481221836279 %
have , 0.6240296347990364 %
that , 0.613720192936358 %
will , 0.5981238578107679 %
with , 0.556886090360055 %
I , 0.5049864214958031 %
this , 0.5014618259871951 %
also , 0.46586341135025494 %
not , 0.4536154419578423 %
been , 0.45061953577552555 %
But , 0.44594944672662 %
it , 0.43423016666049863 %
And , 0.4211891632786492 %
by , 0.4062096323670655 %
at , 0.40180388798130556 %
from , 0.3811850042559491 %
were , 0.36497186491635253 %
as , 0.3327218160125899 %
he , 0.32364598257792443 %
He , 0.3048775114945871 %
you , 0.3005598819965424 %
his , 0.2930701165407505 %
said , 0.28390616821836984 %
A , 0.2824963300149267 %
had , 0.275535253885426 %
an , 0.27324426680483077 %
police , 0.27016024573479885 %
This , 0.24346143475709367 %
all , 0.22636714654034515 %
can , 0.22530976788776277 %
their , 0.20372162039753913 %
India , 0.19755357825747524 %
Minister , 0.19543882095231047 %
It , 0.19129742122969612 %
Police , 0.18830151504737938 %
All , 0.18512937908963223 %
about , 0.17922568161271393 %
its , 0.17667034986897315 %
your , 0.17561297121639077 %
against , 0.1742031330129476 %
people , 0.17182403104463723 %
they , 0.1631887720485478 %
one , 0.16028098075394623 %
no , 0.15913548721364865 %
said.
 , 0.15895925743821823 %
very , 0.15834245322421187 %
two , 0.15455351305245832 %
government , 0.15208629619643277 %
we , 0.1506764579929896 %
other , 0.14741620714752723 %
do , 0.14547767961779284 %
her , 0.14547767961779284 %
BJP , 0.14107193523203293 %
after , 0.14010267146716573 %
or , 0.1371948801725642 %
there , 0.13305348044994986 %
Indian , 0.13190798690965228 %
who , 0.1313792975833611 %
case , 0.12424199167843 %
Singh , 0.12327272791356281 %
which , 0.12300838325041723 %
what , 0.12168665993468925 %
In , 0.12089362594525246 %
There , 0.12010059195581566 %
Congress , 0.11957190262952448 %
should , 0.11736903043664451 %
any , 0.11613542200863174 %
We , 0.11349197537717577 %
being , 0.11269894138773899 %
first , 0.1123464818368782 %
but , 0.11084852874571982 %
They , 0.11031983941942863 %
it.
 , 0.11014360964399822 %
After , 0.10714770346168148 %
my , 0.1064427843599599 %
would , 0.1059140950336687 %
over , 0.10344687817764313 %
so , 0.10133212087247838 %
film , 0.10018662733218078 %
out , 0.0993054784550288 %
these , 0.09807187002701602 %
time , 0.09604522760956645 %
them , 0.09578088294642086 %
our , 0.09489973406926887 %
into , 0.09445915963069287 %
Modi , 0.0943710447429777 %
new , 0.09428292985526249 %
more , 0.09331366609039529 %
accused , 0.09137513856066093 %
However, , 0.09093456412208493 %
taken , 0.08652881973632501 %
Chief , 0.08635258996089461 %
state , 0.08573578574688823 %
some , 0.08547144108374263 %
Rs , 0.08520709642059703 %
registered , 0.08450217731887544 %
up , 0.08423783265572984 %
made , 0.08370914332943866 %
under , 0.08353291355400826 %
At , 0.08291610934000186 %
many , 0.08273987956457148 %
three , 0.0806251222594067 %
she , 0.08044889248397631 %
such , 0.07965585849453952 %
like , 0.07956774360682432 %
get , 0.07939151383139392 %
only , 0.07921528405596354 %
Prime , 0.07886282450510274 %
this.
 , 0.07824602029109634 %
arrested , 0.07569068854735558 %
As , 0.07551445877192518 %
know , 0.0748095396702036 %
Delhi , 0.0743689652316276 %
just , 0.07287101214046923 %
that.
 , 0.07260666747732364 %
did , 0.07225420792646284 %
You , 0.07146117393702606 %
Both , 0.07093248461073486 %
then , 0.07084436972301966 %
She , 0.07066813994758926 %
good , 0.07031568039672847 %
both , 0.06987510595815248 %
take , 0.06969887618272208 %
per , 0.06961076129500687 %
during , 0.0695226464072917 %
how , 0.06943453151957649 %
him , 0.06925830174414609 %
between , 0.06890584219328529 %
Are , 0.0677603486529877 %
need , 0.06749600398984211 %
them.
 , 0.06617428067411413 %
family , 0.06617428067411413 %
Narendra , 0.06529313179696215 %
while , 0.06494067224610135 %
injured , 0.0624734553900758 %
social , 0.0622091107269302 %
could , 0.060887387411202226 %
chief , 0.060534927860341425 %
.
 , 0.06035869808491103 %
incident.
 , 0.05991812364633504 %
Khan , 0.05912508965689826 %
want , 0.058684515218322256 %
going , 0.05833205566746146 %
dont , 0.05824394077974626 %
number , 0.05753902167802468 %
case.
 , 0.05745090679030948 %
work , 0.05745090679030948 %
 , 0.05718656212716388 %
took , 0.05683410257630309 %
spot , 0.05648164302544229 %
most , 0.05621729836229669 %
minister , 0.055952953699151105 %
sent , 0.055952953699151105 %
India.
 , 0.055512379260575104 %
if , 0.05542426437285991 %
am , 0.05515991970971432 %
started , 0.054983689934283916 %
really , 0.054895575046568716 %
party , 0.054631230383423116 %
body , 0.053045162404549547 %
reached , 0.05295704751683435 %
official , 0.05278081774140396 %
What , 0.05189966886425196 %
lot , 0.051194749762530384 %
never , 0.051194749762530384 %
make , 0.05110663487481518 %
including , 0.05093040509938478 %
where , 0.05093040509938478 %
several , 0.05093040509938478 %
team , 0.05031360088537839 %
when , 0.049168107345080814 %
time.
 , 0.049168107345080814 %
than , 0.049079992457365614 %
former , 0.048991877569650406 %
