Word , Coverage
के , 3.6753830445721705 %
में , 3.0461466527136762 %
की , 2.3121833143017088 %
और , 1.9950602597419123 %
है। , 1.9412256790154871 %
है , 1.683344519051239 %
को , 1.5938852822458802 %
से , 1.5042670067973116 %
ने , 1.4615651310955535 %
का , 1.1865873169862813 %
पर , 1.1488156392240185 %
भी , 0.962422349382453 %
नहीं , 0.9016695876764137 %
कि , 0.8588881926530508 %
लिए , 0.7407224807483723 %
इस , 0.7131292761515193 %
हैं। , 0.7129702375083097 %
एक , 0.6903867501725569 %
हैं , 0.667167108263966 %
कर , 0.6618393137164469 %
यह , 0.6532512269831324 %
कहा , 0.5591003502030923 %
ही , 0.5096393321649294 %
किया , 0.48983902108534333 %
हो , 0.46669889849835716 %
पुलिस , 0.42749587294720875 %
लेकिन , 0.39155313958185556 %
साथ , 0.38336264945656495 %
करने , 0.3727865796831314 %
गया , 0.3578369472214359 %
बाद , 0.34384154661899746 %
उन्होंने , 0.3345377859912401 %
इसके , 0.2837249394857963 %
मैं , 0.254541348456848 %
वह , 0.2540642325272195 %
क्या , 0.25398471320561467 %
रही , 0.25167865287907654 %
कोई , 0.24555566511550975 %
अपने , 0.2384784454926858 %
तो , 0.23808084888466197 %
रहा , 0.23760373295503343 %
कुछ , 0.23633142380935718 %
दिया , 0.23625190448775243 %
रहे , 0.23370728619640002 %
भारत , 0.22265410049333786 %
था , 0.21056716360941383 %
सभी , 0.21009004767978523 %
लोगों , 0.20698879413719945 %
ये , 0.20698879413719945 %
जा , 0.20635263956436134 %
था। , 0.20364898262979939 %
गई , 0.1999115745143755 %
। , 0.19959349722795647 %
हुए , 0.19458377996685636 %
बहुत , 0.19458377996685636 %
सरकार , 0.1916415650674801 %
फिल्म , 0.18106549529404656 %
बात , 0.17605577803294645 %
हम , 0.1758967393897369 %
दोनों , 0.17510154617368928 %
आप , 0.17295452449036067 %
दी , 0.17152317670147493 %
पहले , 0.16619538215395577 %
मामले , 0.16261701268174142 %
कई , 0.1607085489632271 %
तक , 0.15840248863668893 %
किसी , 0.15816393067187465 %
मुझे , 0.1567325828829889 %
करते , 0.1564940249181746 %
जो , 0.15315421341077454 %
सिंह , 0.15092767240584118 %
उनके , 0.14830353479288397 %
होने , 0.14424804939104102 %
गए , 0.14400949142622674 %
करना , 0.14353237549659817 %
तरह , 0.14265766295894577 %
दो , 0.1410672765268505 %
इसमें , 0.13685275248179804 %
काम , 0.13391053758242177 %
शामिल , 0.1319225545423027 %
थे। , 0.1319225545423027 %
उन्हें , 0.13120688064785982 %
इससे , 0.13088880336144076 %
ऐसा , 0.13001409082378837 %
दर्ज , 0.12786706914045973 %
अपनी , 0.12659475999478353 %
समय , 0.12587908610034065 %
थी। , 0.12564052813552637 %
जांच , 0.12532245084910731 %
कांग्रेस , 0.12365254509540727 %
खिलाफ , 0.12071033019603103 %
सकते , 0.11983561765837862 %
गया। , 0.1195175403719596 %
लेकर , 0.11848378919109764 %
रूप , 0.11824523122628337 %
काफी , 0.11673436411579285 %
वाले , 0.11585965157814046 %
