Word , Frequency
the , 61096
and , 26797
of , 26691
to , 24568
in , 22768
a , 17751
is , 17200
The , 12715
for , 9646
has , 8630
was , 8278
are , 7953
on , 7652
be , 7417
have , 7082
that , 6965
will , 6788
with , 6320
I , 5731
this , 5691
also , 5287
not , 5148
been , 5114
But , 5061
it , 4928
And , 4780
by , 4610
at , 4560
from , 4326
were , 4142
as , 3776
he , 3673
He , 3460
you , 3411
his , 3326
said , 3222
A , 3206
had , 3127
an , 3101
police , 3066
This , 2763
all , 2569
can , 2557
their , 2312
India , 2242
Minister , 2218
It , 2171
Police , 2137
All , 2101
about , 2034
its , 2005
your , 1993
against , 1977
people , 1950
they , 1852
one , 1819
no , 1806
said.
 , 1804
very , 1797
two , 1754
government , 1726
we , 1710
other , 1673
do , 1651
her , 1651
BJP , 1601
after , 1590
or , 1557
there , 1510
Indian , 1497
who , 1491
case , 1410
Singh , 1399
which , 1396
what , 1381
In , 1372
There , 1363
Congress , 1357
should , 1332
any , 1318
We , 1288
being , 1279
first , 1275
but , 1258
They , 1252
it.
 , 1250
After , 1216
my , 1208
would , 1202
over , 1174
so , 1150
film , 1137
out , 1127
these , 1113
time , 1090
them , 1087
our , 1077
into , 1072
Modi , 1071
new , 1070
more , 1059
accused , 1037
However, , 1032
taken , 982
Chief , 980
state , 973
some , 970
Rs , 967
registered , 959
up , 956
made , 950
under , 948
At , 941
many , 939
three , 915
she , 913
such , 904
like , 903
get , 901
only , 899
Prime , 895
this.
 , 888
arrested , 859
As , 857
know , 849
Delhi , 844
just , 827
that.
 , 824
did , 820
You , 811
Both , 805
then , 804
She , 802
good , 798
both , 793
take , 791
per , 790
during , 789
how , 788
him , 786
between , 782
Are , 769
need , 766
them.
 , 751
family , 751
Narendra , 741
while , 737
injured , 709
social , 706
could , 691
chief , 687
.
 , 685
incident.
 , 680
Khan , 671
want , 666
going , 662
dont , 661
number , 653
case.
 , 652
work , 652
 , 649
took , 645
spot , 641
most , 638
minister , 635
sent , 635
India.
 , 630
if , 629
am , 626
started , 624
really , 623
party , 620
body , 602
reached , 601
official , 599
What , 589
lot , 581
never , 581
make , 580
including , 578
where , 578
several , 578
team , 571
when , 558
time.
 , 558
than , 557
former , 556
Gandhi , 555
much , 552
me , 550
through , 550
present , 549
Kumar , 548
New , 546
said, , 537
On , 536
part , 532
seen , 532
President , 529
same , 528
