Word , Frequency
इसके , 3568
लिए , 9315
प्रत्येक , 179
थाने , 210
में , 38307
दोदो , 40
गाडि़यां , 2
उपलब्ध , 514
कराई , 179
जाएंगी। , 35
न्यूजीलैंड , 86
को , 20044
पाकिस्तान , 782
और , 25089
आस्ट्रेलिया , 36
के , 46220
खिलाफ , 1518
पिछले , 308
दो , 1774
मुकाबलों , 8
हार , 174
का , 14922
सामना , 314
करना , 1805
पड़ा , 144
है , 21169
कुछु , 3
देर , 260
बाद , 4324
बेहोश , 14
हो , 5869
गई। , 989
भारत , 2800
दुनिया , 516
पहला , 269
बड़ा , 476
देश , 1393
होगा , 759
जो , 1926
उस , 756
पैमाने , 47
बारे , 1217
सोचता , 25
है। , 24412
देसाई , 15
ने , 18380
कहा , 7031
इन , 1406
लड़कों , 20
आर्यन , 56
मर्चेंट , 7
अगर , 548
समानता , 27
आधार , 419
पर , 14447
नहीं , 11339
तो , 2994
स्वतंत्रता , 78
जमानत , 114
दी , 2157
जानी , 89
चाहिएसख्त , 1
शर्तों , 24
इन्हें , 166
रिहा , 36
करें। , 628
अभी , 1394
अनुमति , 281
मिली , 327
इस , 8968
दौरान , 1055
यहां , 1195
कड़ी , 170
सुरक्षा , 695
भी , 12103
रही। , 178
वहीं , 1093
राधिका , 18
मदान , 6
इरफान , 33
की , 29077
टीनएज , 1
बेटी , 270
रोल , 177
प्ले , 37
करेंगी। , 26
गरीबी , 17
रेखा , 60
से , 18917
नीचे , 246
जीवनयापन , 1
करने , 4688
वाले , 1457
लोगों , 2603
बड़ी , 143
संख्या , 569
अरुणाचल , 28
प्रदेश , 1016
मिजोरम , 26
बारिश , 395
हुए , 2447
हादसों , 31
अपनी , 1592
जान , 242
गंवाई। , 4
यह , 8215
बहुत , 2447
दुर्लभ , 14
इससे , 1646
रोजगार , 93
नये , 64
अवसर , 235
बनेंगे , 15
गौरतलब , 71
कि , 10801
समय , 1583
मुख्यमंत्री , 949
ओमन , 2
चांडी , 2
निजी , 300
सचिव , 246
टेनी , 5
जोप्पन , 1
मामले , 2045
गिरफ्तार , 781
किया , 6160
गया , 4500
था। , 2561
मनोज , 74
पंवासा , 1
रिपोर्ट , 539
दर्ज , 1608
हुई , 1375
थी। , 1580
इनकी , 127
हाइट , 2
मीडियम , 6
होती , 968
ये , 2603
दोनों , 2202
भाईबहन , 16
हैं। , 8966
उप , 78
कप्तान , 301
रोहित , 187
शर्मा , 502
था , 2648
नंबर , 302
धोनी , 121
ही , 6409
खेलना , 33
चाहिए , 768
क्योंकि , 690
विकेटकीपर , 35
बल्लेबाज , 116
स्थान , 311
बिल्कुल , 219
उपयुक्त , 44
बी , 95
श्रेणी , 80
उनको , 131
मिलेगी , 68
सामाजिक , 175
हैसियत , 8
शिक्षा , 336
तथा , 744
जीवनचर्या , 1
ऊँची , 7
रहनसहन , 5
आदी , 10
हों , 86
। , 2510
इसलिए , 526
इसे , 1318
आजतक , 9
प्रकाशित , 78
गया। , 1503
कुछ , 2972
राज्यों , 298
मृत , 125
टीका , 53
प्रमाणपत्र , 26
दिये , 68
जाने , 930
सवाल , 410
केंद्रीय , 462
स्वास्थ्य , 539
राजेश , 54
भूषण , 49
मीडिया , 789
ब्रीफिंग , 7
मध्य , 214
एक , 8682
घटना , 1244
घटी , 19
हमने , 401
पाया , 251
लगवाने , 11
पंजीकरण , 43
कराया , 394
जब , 786
व्यक्ति , 519
जीवित , 34
जिस , 234
दिन , 952
उन्हें , 1650
आना , 74
दुर्भाग्य , 19
उनकी , 1193
मृत्यु , 89
गयी , 305
तबतक , 2
चुकी , 413
सभी , 2642
अच्छे , 321
मिलनसार , 7
प्रशासन , 247
पीड़ित , 128
परिवार , 698
आर्थिक , 239
सहयोग , 229
देना , 325
तोपें , 2
लोहे , 4
बनी , 238
लेकिन , 4924
मेरी , 497
सीमाएं , 10
उन्होंने , 4207
मैं , 3201
अपने , 2999
श्रमिकों , 24
साथ , 4821
तब , 469
तक , 1992
रहूंगा , 7
जरूरत , 589
होगी , 383
मैंने , 814
ह॒द , 1
बढ़ने , 104
कैसे , 677
दिया , 2971
कारण , 1021
वे , 1429
दुखी , 42
हैं , 8390
कॉन्स्टेबल , 9
निलंबित , 43
निर्भया , 10
कांड , 21
चारों , 101
दोषी , 109
मुकेश , 59
पवन , 38
अक्षय , 165
विनय , 27
सुप्रीम , 215
कोर्ट , 545
मौत , 1159
सजा , 130
सुना , 47
चुका , 274
स्थिति , 656
कमी , 230
रहेगी। , 65
यही , 617
चिंता , 200
सतर्क , 51
रहने , 433
बोला , 67
ममता , 149
बनर्जी , 156
शासन , 125
बंगाल , 365
गुंडाराज , 1
जारी , 1159
वस्तुतः , 9
ठीक , 427
उल्टा। , 2
आगे , 693
महामारी , 152
वैश्विक , 128
अर्थव्यवस्था , 90
तेजी , 280
पटरी , 24
लाने , 111
स्वच्छ , 27
सस्ती , 21
विश्वसनीय , 22
सतत , 19
ऊर्जा , 102
नरेंद्र , 546
मोदी , 1413
अगुआई , 13
वाली , 830
नई , 601
सरकार , 2410
नीतीश , 89
कुमार , 784
पार्टी , 1072
जनता , 362
दल , 262
यूनाइटे , 1
